[2023-04-14 07:20:12,853] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 07:20:12,853] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 07:20:12,853] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 07:20:12,853] Attacker IP: 192.168.56.104 |  Command: LIST | Input: 
[2023-04-14 07:20:22,737] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 07:20:22,737] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 07:20:22,737] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 07:20:22,737] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 07:20:22,737] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 07:20:22,737] Attacker IP: 192.168.56.104 |  Command: QUIT | Input: 
[2023-04-14 07:20:25,812] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 07:20:25,812] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 07:20:25,812] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 07:20:25,812] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 07:20:25,812] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 07:20:25,812] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 07:20:25,812] Attacker IP: 192.168.56.104 |  Command: USER | Input: admin
[2023-04-14 07:20:26,491] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 07:20:26,491] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 07:20:26,491] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 07:20:26,491] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 07:20:26,491] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 07:20:26,491] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 07:20:26,491] Attacker IP: 192.168.56.104 |  Command: PASS | Input: admin
[2023-04-14 07:20:26,492] Attacker IP: 192.168.56.104 |  Command: SYST | Input: 
